drawing,image,condition,participant,RT,score,response
AD34_d06_apr16,a-pr16,search,AD34,2651,0,3
AD28_d04_apr16,a-pr16,search,AD28,3817,0.5,4
AD25_d07_apr23,a-pr23,search,AD25,2924,-1,1
AD27_d09_apr06,a-pr6,search,AD27,7001,0.5,4
AD26_d04_apr05,a-pr5,search,AD26,1660,-0.5,2
AD30_d12_apr14,a-pr14,search,AD30,10366,0.5,4
AD27_d01_apr21,a-pr21,search,AD27,2229,1,5
AD25_d09_apr10,a-pr10,search,AD25,2536,-0.5,2
AD29_d09_apr13,a-pr13,search,AD29,5868,0,3
AD31_d05_apr19,a-pr19,search,AD31,2363,0,3
AD35_d02_apr13,a-pr13,search,AD35,2784,-0.5,2
AD29_d06_apr32,a-pr32,search,AD29,8744,-0.5,2
AD32_d07_apr10,a-pr10,search,AD32,2848,0,3
AD26_d02_apr19,a-pr19,search,AD26,2858,0.5,4
AD26_d01_apr01,a-pr1,search,AD26,2680,-0.5,2
AD36_d03_apr32,a-pr32,search,AD36,3100,-0.5,2
AD23_d07_apr05,a-pr5,search,AD23,5589,0,3
AD24_d05_apr13,a-pr13,search,AD24,5829,-0.5,2
AD27_d07_apr10,a-pr10,search,AD27,2234,0,3
AD26_d05_apr16,a-pr16,search,AD26,3700,0,3
AD28_d01_apr05,a-pr5,search,AD28,3036,0.5,4
AD36_d05_apr16,a-pr16,search,AD36,3812,0.5,4
AD26_d11_apr14,a-pr14,search,AD26,63522,-0.5,2
AD25_d04_apr16,a-pr16,search,AD25,22012,-1,1
AD29_d04_apr04,a-pr4,search,AD29,8214,1,5
AD35_d04_apr22,a-pr22,search,AD35,6564,1,5
AD26_d07_apr06,a-pr6,search,AD26,18854,-0.5,2
AD29_d06_apr32,a-pr32,search,AD29,17096,1,5
AD32_d04_apr26,a-pr26,search,AD32,1768,1,5
AD31_d04_apr05,a-pr5,search,AD31,13907,0.5,4
AD35_d08_apr05,a-pr5,search,AD35,3090,1,5
AD36_d01_apr13,a-pr13,search,AD36,1855,-1,1
AD25_d02_apr06,a-pr6,search,AD25,7353,-1,1
AD32_d01_apr13,a-pr13,search,AD32,8207,-0.5,2
AD31_d01_apr22,a-pr22,search,AD31,2740,1,5
AD26_d08_apr22,a-pr22,search,AD26,8464,0.5,4
AD29_d09_apr13,a-pr13,search,AD29,8611,0,3
AD30_d07_apr16,a-pr16,search,AD30,10172,-0.5,2
AD36_d05_apr16,a-pr16,search,AD36,5638,0,3
AD24_d02_apr22,a-pr22,search,AD24,7078,na,6
AD34_d06_apr16,a-pr16,search,AD34,9954,1,5
AD28_d03_apr22,a-pr22,search,AD28,8469,0,3
AD25_d01_apr05,a-pr5,search,AD25,2915,0,3
AD32_d05_apr32,a-pr32,search,AD32,17966,na,6
AD27_d03_apr13,a-pr13,search,AD27,4035,0,3
AD34_d05_apr13,a-pr13,search,AD34,4123,-0.5,2
AD30_d08_apr13,a-pr13,search,AD30,7281,na,6
AD25_d10_apr04,a-pr4,search,AD25,7288,-0.5,2
AD27_d07_apr10,a-pr10,search,AD27,3046,1,5
AD32_d07_apr10,a-pr10,search,AD32,7850,0,3
AD31_d06_apr01,a-pr1,search,AD31,6532,-0.5,2
AD31_d11_apr14,a-pr14,search,AD31,5326,1,5
AD26_d05_apr16,a-pr16,search,AD26,5146,0,3
AD29_d12_apr23,a-pr23,search,AD29,5270,0,3
AD27_d09_apr06,a-pr6,search,AD27,2688,1,5
AD27_d08_apr01,a-pr1,search,AD27,4154,0.5,4
AD30_d05_apr01,a-pr1,search,AD30,13713,na,6
AD34_d04_apr05,a-pr5,search,AD34,20332,-0.5,2
AD32_d06_apr01,a-pr1,search,AD32,26356,0,3
AD30_d12_apr14,a-pr14,search,AD30,5124,0.5,4
AD30_d03_apr10,a-pr10,search,AD30,3485,-0.5,2
AD27_d04_apr30,a-pr30,search,AD27,2560,na,6
AD33_d03_apr01,a-pr1,search,AD33,2341,-1,1
AD25_d09_apr10,a-pr10,search,AD25,3625,-1,1
AD31_d05_apr19,a-pr19,search,AD31,4342,-1,1
AD24_d08_apr10,a-pr10,search,AD24,22231,-1,1
AD24_d06_apr01,a-pr1,search,AD24,8228,-0.5,2
AD24_d05_apr13,a-pr13,search,AD24,6347,-0.5,2
AD25_d07_apr23,a-pr23,search,AD25,3878,-1,1
AD35_d02_apr13,a-pr13,search,AD35,2012,-0.5,2
AD29_d10_apr26,a-pr26,search,AD29,4094,na,6
AD26_d04_apr05,a-pr5,search,AD26,3847,-0.5,2
AD31_d03_apr13,a-pr13,search,AD31,4585,-0.5,2
AD28_d01_apr05,a-pr5,search,AD28,4571,0.5,4
AD36_d02_apr01,a-pr1,search,AD36,1709,-1,1
AD34_d01_apr22,a-pr22,search,AD34,2684,0,3
AD29_d05_apr21,a-pr21,search,AD29,3450,0.5,4
AD26_d01_apr01,a-pr1,search,AD26,3424,-0.5,2
AD27_d06_apr19,a-pr19,search,AD27,3497,1,5
AD31_d02_apr26,a-pr26,search,AD31,6609,0.5,4
AD26_d09_apr26,a-pr26,search,AD26,12056,-1,1
AD29_d11_apr10,a-pr10,search,AD29,14145,0,3
AD31_d07_apr23,a-pr23,search,AD31,17897,-0.5,2
AD23_d07_apr05,a-pr5,search,AD23,3139,0.5,4
AD30_d02_apr21,a-pr21,search,AD30,5093,-0.5,2
AD26_d06_apr13,a-pr13,search,AD26,2123,0,3
AD28_d02_apr04,a-pr4,search,AD28,3223,1,5
AD32_d02_apr23,a-pr23,search,AD32,3153,-0.5,2
AD36_d04_apr05,a-pr5,search,AD36,3623,-0.5,2
AD28_d04_apr16,a-pr16,search,AD28,1875,-0.5,2
AD35_d03_apr01,a-pr1,search,AD35,1573,-0.5,2
AD24_d03_apr26,a-pr26,search,AD24,2169,-1,1
AD36_d03_apr32,a-pr32,search,AD36,7758,-0.5,2
AD30_d01_apr23,a-pr23,search,AD30,2351,-0.5,2
AD26_d10_apr10,a-pr10,search,AD26,1515,-0.5,2
AD33_d04_apr26,a-pr26,search,AD33,1708,-1,1
AD35_d05_apr06,a-pr6,search,AD35,2137,-0.5,2
AD24_d07_apr30,a-pr30,search,AD24,2989,na,6
AD30_d10_apr26,a-pr26,search,AD30,6688,-1,1
AD34_d07_apr01,a-pr1,search,AD34,5801,0,3
AD27_d05_apr04,a-pr4,search,AD27,3782,1,5
AD29_d08_apr16,a-pr16,search,AD29,3004,0,3
AD26_d03_apr04,a-pr4,search,AD26,2578,0,3
AD30_d06_apr22,a-pr22,search,AD30,3295,na,6
AD33_d02_apr16,a-pr16,search,AD33,2207,-1,1
AD34_d02_apr14,a-pr14,search,AD34,2810,0,3
AD26_d02_apr19,a-pr19,search,AD26,2163,0,3
AD35_d01_apr10,a-pr10,search,AD35,3677,1,5
AD32_d03_apr21,a-pr21,search,AD32,2786,0.5,4
AD28_d05_apr19,a-pr19,search,AD28,2426,0,3
AD30_d04_apr19,a-pr19,search,AD30,3072,1,5
AD31_d10_apr10,a-pr10,search,AD31,1886,-0.5,2
AD27_d02_apr16,a-pr16,search,AD27,3737,0,3
AD31_d08_apr06,a-pr6,search,AD31,4938,-0.5,2
AD24_d09_apr04,a-pr4,search,AD24,2056,0,3
AD29_d03_apr01,a-pr1,search,AD29,4262,-0.5,2
AD29_d02_apr22,a-pr22,search,AD29,2515,0.5,4
AD27_d01_apr21,a-pr21,search,AD27,1828,1,5
AD33_d01_apr05,a-pr5,search,AD33,2265,-0.5,2
AD23_d06_apr13,a-pr13,search,AD23,1861,-0.5,2
AD35_d06_apr26,a-pr26,search,AD35,1881,-1,1
AD25_d03_apr01,a-pr1,search,AD25,1259,-1,1
