trial,start,end,x,y,mad.x,mad.y,peak.vx,peak.vy,dur,event,participant,image
9,407.2753676,407.4713638,1272.5,738,0.7413,1.4826,-2,-4,195.9962,fixation,AD02,a-pr10.png
9,407.5106402,407.6512215,1006,677,2.9652,2.9652,-4.5,-2.5,140.5813,fixation,AD02,a-pr10.png
9,407.6872856,407.7187154,1495.5,653.5,3.7065,2.9652,6,-3.5,31.4298,fixation,AD02,a-pr10.png
9,407.7352318,408.0284156,1495,655,2.9652,2.9652,-2,4,293.1838,fixation,AD02,a-pr10.png
9,408.0325394,408.2373535,1493.5,653,2.2239,2.9652,3,3.5,204.8141,fixation,AD02,a-pr10.png
9,408.2852881,408.4273247,1095,676,1.4826,4.4478,6,3,142.0366,fixation,AD02,a-pr10.png
9,408.4312294,408.4753034,1092,678,1.4826,1.4826,5,2,44.074,fixation,AD02,a-pr10.png
9,408.5052928,408.6813443,935,674,5.9304,3.7065,-3,3.5,176.05149999962998,fixation,AD02,a-pr10.png
9,408.68317,408.7350906,928,678,1.4826,1.4826,-3,3,51.920599999903104,fixation,AD02,a-pr10.png
9,408.737106,409.0009627,925,673,4.4478,2.9652,-3,-3.5,263.8567,fixation,AD02,a-pr10.png
9,409.0129931,409.2009185,951,680,2.9652,2.9652,4,-3.5,187.92539999958498,fixation,AD02,a-pr10.png
9,409.2407678,409.3247518,1448.5,724,3.7065,1.4826,5.5,3.5,83.984,fixation,AD02,a-pr10.png
9,409.3267378,409.3686832,1447,720,1.4826,1.4826,-2.5,-4,41.9454,fixation,AD02,a-pr10.png
9,409.3788683,409.4326278,1451,721,1.4826,2.9652,-2,2,53.7595,fixation,AD02,a-pr10.png
9,411.04275,411.052721,980,656,0,1.4826,-3,-1.5,9.971,fixation,AD02,a-pr10.png
10,419.0785269,419.0944864,1259.5,711.5,2.2239,2.2239,-2,2.5,15.9595,fixation,AD02,a-pr32.png
10,419.1004416,419.1285406,1260.5,718,2.2239,1.4826,-2,5,28.099,fixation,AD02,a-pr32.png
